,Nome,Endereco,Cep - UF,Telefone,Numero CGC,Horario de Atendimento
0,"AFONSO CLAUDIO, ES",AVENIDA PRESIDENTE VARGAS NUM 110 - CENTRO,"296000 - AFONSO CLAUDIO, ES",Tel: (27) 4003-1043,Ag. Número: 0170-8,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ALEGRE, ES",RUA DR. CHACON NUM 6 - CENTRO,"295000 - ALEGRE, ES",Tel: (28) 4003-1043,Ag. Número: 0169-4,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ALFREDO CHAVES, ES",AVENIDA GETULIO VARGAS NUM 364 - CENTRO,"292400 - ALFREDO CHAVES, ES",Tel: (27) 3303-0170,Ag. Número: 4604-3,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"PADRE ANCHIETA, ES",AVENIDA RAUTA NUM 828 - JUSTICA I,"292300 - ANCHIETA, ES",Tel: (28) 2323-0360,Ag. Número: 1978-0,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ARACRUZ, ES",AVENIDA VENANCIO FLORES NUM 1111 - CENTRO,"2919010 - ARACRUZ, ES",Tel: (27) 3303-0290,Ag. Número: 1112-6,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BAIXO GUANDU, ES",AVENIDA CARLOS MEDEIROS NUM 541 - CENTRO,"297300 - BAIXO GUANDU, ES",Tel: (27) 3303-0330,Ag. Número: 0718-8,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BARRA DE SAO FRANCISCO, ES",AVENIDA PREFEITO EDSON HENRIQUE PEREIRA NUM 430 - CENTRO,"298000 - BARRA DE SAO FRANCISCO, ES",Tel: (27) 4003-1043,Ag. Número: 0719-6,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BERNARDO HORTA, ES",RUA PROFESSOR QUINTILIANO NUM 27 - CENTRO,"29300195 - CACHOEIRO DE ITAPEMIRIM, ES",Tel: (28) 4003-1043,Ag. Número: 2016-8,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"CACHOEIRO DE ITAPEMIRIM, ES",AVENIDA FRANCISCO LACERDA DE AGUIAR NUM 410 - PARAISO,"2930448 - CACHOEIRO DE ITAPEMIRIM, ES",Tel: (28) 4003-1043,Ag. Número: 0171-6,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"TREVO, ES",RODOVIA ENGENHEIRO FABIANO VIVACQUA NUM 191 - MARBRASA,"29313656 - CACHOEIRO DE ITAPEMIRIM, ES",Tel: (28) 4003-1043,Ag. Número: 3630-7,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"AMERICA, ES",RODOVIA BR-262 KM 01 - JARDIM AMERICA,"29140261 - CARIACICA, ES",Tel: (27) 4104-2020,Ag. Número: 1539-3,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"CARIACICA, ES",AVENIDA EXPEDITO GARCIA NUM 75 - CAMPO GRANDE,"29146201 - CARIACICA, ES",Tel: (27) 4104-2150,Ag. Número: 0590-8,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"ITACIBA, ES",RODOVIA GOVERNADOR JOSE SETTE NUM S/N - ITACIBA,"29150410 - CARIACICA, ES",Tel: (27) 4003-1043,Ag. Número: 3308-1,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"CASTELO, ES",AVENIDA ARISTEU BORGES DE AGUIAR NUM 91 - CENTRO,"293600 - CASTELO, ES",Tel: (28) 4003-1043,Ag. Número: 0591-6,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"COLATINA, ES",AVENIDA GETULIO VARGAS NUM 537 - CENTRO,"2970011 - COLATINA, ES",Tel: (27) 3303-0380,Ag. Número: 0172-4,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"SAO SILVANO, ES",AVENIDA SILVIO AVIDOS NUM 1049 - SAO SILVANO,"29703100 - COLATINA, ES",Tel: (27) 3303-0260,Ag. Número: 1540-7,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"CONCEICAO DA BARRA, ES",AVENIDA GOV. JONES DOS SANTOS NEVES NUM 159 - CENTRO,"299600 - CONCEICAO DA BARRA, ES",Tel: (27) 3303-0280,Ag. Número: 1113-4,Horário de atendimento: 10:00 às 15:00 (dias úteis)
