,Nome,Endereco,Cep - UF,Telefone,Numero CGC,Horario de Atendimento
0,"ABAETE, MG",PRACA DR. AMADOR A. SILVA NUM 151 - CENTRO,"356200 - ABAETE, MG",Tel: (37) 4003-1043,Ag. Número: 1059-6,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"AGUAS FORMOSAS, MG",RUA DEODORO DE ALMEIDA PINTO NUM 166 - CENTRO,"398800 - AGUAS FORMOSAS, MG",Tel: (33) 4003-1043,Ag. Número: 3612-9,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"AIMORES, MG",AVENIDA RAUL SOARES NUM 104 - CENTRO,"352000 - AIMORES, MG",Tel: (33) 4003-1043,Ag. Número: 0704-8,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ALEM PARAIBA, MG",RUA CORONEL OSCAR CORTES NUM 254 - CENTRO,"366600 - ALEM PARAIBA, MG",Tel: (32) 4003-1043,Ag. Número: 1023-5,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ALFENAS, MG",PRACA GETULIO VARGAS NUM 334 - CENTRO,"3713073 - ALFENAS, MG",Tel: (37) 4003-1043,Ag. Número: 0095-7,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"LAGOS DE MINAS, MG",AVENIDA JOVINO FERNANDES SALLES NUM 1240 - JARDIM ALVORADA,"37135242 - ALFENAS, MG",Tel: (35) 4003-1043,Ag. Número: 4390-7,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ALMENARA, MG",RUA HERMANO SOUZA NUM 105 - CENTRO,"399000 - ALMENARA, MG",Tel: (33) 4003-1043,Ag. Número: 0606-8,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ALPINOPOLIS, MG",AVENIDA GOVERNADOR VALADARES NUM 539 - CENTRO,"379400 - ALPINOPOLIS, MG",Tel: (35) 4003-1043,Ag. Número: 4275-7,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ANDRADAS, MG",RUA CORONEL OLIVEIRA NUM 310 - CENTRO,"377950 - ANDRADAS, MG",Tel: (35) 4003-1043,Ag. Número: 0694-7,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ARACUAI, MG",AVENIDA DOUTOR NUNO MELO NUM 286 - CENTRO,"396000 - ARACUAI, MG",Tel: (33) 4003-1043,Ag. Número: 0705-6,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ARAGUARI, MG",AVENIDA TIRADENTES NUM 381 - CENTRO,"38440238 - ARAGUARI, MG",Tel: (34) 4003-1043,Ag. Número: 0096-5,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ARAXA, MG",AVENIDA ANTONIO CARLOS NUM 83 - CENTRO,"3818383 - ARAXA, MG",Tel: (34) 4003-1043,Ag. Número: 0097-3,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ARCOS, MG",AVENIDA GOVERNADOR VALADARES NUM 383 - CENTRO,"355880 - ARCOS, MG",Tel: (37) 4003-1043,Ag. Número: 1696-9,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BAEPENDI, MG",RUA JOSE ALBERTO PELUCIO NUM 63 - CENTRO,"374430 - BAEPENDI, MG",Tel: (35) 4003-1043,Ag. Número: 0098-1,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BAMBUI, MG",RUA JOSE AUGUSTO CHAVES NUM 388 - CENTRO,"389000 - BAMBUI, MG",Tel: (37) 4003-1043,Ag. Número: 1901-1,Horário de atendimento: 11:00 às 16:00 (dias úteis)
0,"BARAO DE COCAIS, MG",AVENIDA WILSON ALVARENGA DE OLIVEIRA NUM 410 - VIUVA,"359700 - BARAO DE COCAIS, MG",Tel: (31) 4003-1043,Ag. Número: 2838-0,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BARBACENA, MG",RUA QUINZE DE NOVEMBRO NUM 200 - CENTRO,"3620074 - BARBACENA, MG",Tel: (32) 4003-1043,Ag. Número: 0099-0,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"CIDADE DAS ROSAS, MG",AVENIDA GOVERNADOR BIAS FORTES NUM 841 - CAMINHO NOVO,"36204168 - BARBACENA, MG",Tel: (32) 4003-1043,Ag. Número: 3747-8,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"21 DE ABRIL, MG",AVENIDA ALVARES CABRAL NUM 476 - CENTRO,"301700 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 2187-3,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"ABC, MG",AVENIDA GETULIO VARGAS NUM 470 - FUNCIONARIOS,"3011220 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 2255-1,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"ALIPIO DE MELO, MG",AVENIDA ABILIO MACHADO NUM 1873 - GLORIA,"30830373 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 2427-9,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"ALTEROSAS, MG",RUA JULIO PEREIRA DA SILVA NUM 86 - CIDADE NOVA,"31170360 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 2161-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BAIRRO CEU AZUL, MG",JOAO GUALBERTO DOS SANTOS NUM 72 - CEU AZUL,"31580500 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 2279-9,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BAIRRO CORACAO EUCARISTICO, MG",RUA CORACAO EUCARISTICO DE JESUS NUM 405 - CORACAO EUCARISTICO,"30535460 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 4972-7,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BAIRRO SANTA AMELIA, MG",AVENIDA PORTUGAL NUM 2390 - SANTA AMELIA,"315550 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 4387-7,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BAIRRO SANTA MONICA, MG",RUA ERICO VERISSIMO NUM 1662 - SANTA MONICA,"315200 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 4216-1,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BARREIRO, MG",AVENIDA AFONSO VAZ DE MELO NUM 399 - BARREIRO,"3064070 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0082-5,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BARRO PRETO, MG",AVENIDA AUGUSTO DE LIMA NUM 1578 - BARRO PRETO,"301903 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0083-3,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BELO HORIZONTE, MG",AVENIDA BRASIL NUM 1462 - FUNCIONARIOS,"301403 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 1149-5,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BELVEDERE, MG",AVENIDA LUIS PAULO FRANCO NUM 533 - BELVEDERE,"30320570 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 2922-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BETANIA, MG",RUA URSULA PAULINO NUM 1300 - BETANIA,"305802 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 1422-2,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BURITIS, MG",AVENIDA PROFESSOR MARIO WERNECK NUM 1200 - BURITIS,"30455610 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 2923-8,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"CALAFATE, MG",RUA PLATINA NUM 1328 - CALAFATE,"30411330 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 1640-3,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"CARMO-SION, MG",AVENIDA DO CONTORNO NUM 5809 - SANTA EFIGENIA,"3011017 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 1532-6,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"CELSO FURTADO, MG",RUA TIMBIRAS NUM 2344 - LOURDES,"3014061 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 2984-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"DEL REY, MG",RUA MANTENA NUM 22 - OURO PRETO,"31310430 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 3311-1,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"FLORESTA, MG",AVENIDA DO CONTORNO NUM 1528 - FLORESTA,"301108 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0086-8,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"GUAJAJARAS, MG",RUA DOS TIMBIRAS NUM 1532 - LOURDES,"3014061 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0094-9,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"HORTO FLORESTAL, MG",RUA POUSO ALEGRE NUM 2342 - SANTA TEREZA,"31010514 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0087-6,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"IMPERADOR, MG",AVENIDA DOM PEDRO II NUM 1408 - BONFIM,"31210442 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0090-6,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"INCONFIDENCIA, MG",RUA CURITIBA NUM 888 - CENTRO,"30170120 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0085-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"ITACOLOMI, MG",AVENIDA FRANCISCO DESLANDES NUM 991 - ANCHIETA,"30310530 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 2426-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"JOAO GUIMARAES ROSA, MG",AVENIDA OLINTO MEIRELES NUM 2600 - MIRAMAR,"30620330 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 3552-1,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"LAGOA DO NADO, MG",AVENIDA DOUTOR CRISTIANO GUIMARAES NUM 1691 - PLANALTO,"31720300 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 2983-1,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"LUXEMBURGO, MG",RUA GUAICUI NUM 81 - CORACAO DE JESUS,"30380380 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 1530-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"MANGABEIRAS, MG",AVENIDA AFONSO PENA NUM 4045 - MANGABEIRAS,"301308 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0681-5,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"MINAS GERAIS, MG",RUA JACUI NUM 3636 - IPIRANGA,"31160190 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0815-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"MINAS TENIS, MG",RUA ANTONIO DE ALBUQUERQUE NUM 1065 - LOURDES,"3011211 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 1533-4,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"OLEGARIO MACIEL, MG",AVENIDA OLEGARIO MACIEL NUM 591 - CENTRO,"30180110 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0536-3,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"PADRE EUSTAQUIO, MG",RUA PADRE EUSTAQUIO NUM 2571 - PADRE EUSTAQUIO,"30720100 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0089-2,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"PAMPULHA, MG",AVENIDA PRESIDENTE ANTONIO CARLOS NUM 7636 - SAO LUIZ,"31270672 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 1746-9,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"PARC ROYAL, MG",RUA DA BAHIA NUM 902 - CENTRO,"3016011 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 1667-5,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"PRESIDENTE JK, MG",AVENIDA SILVA LOBO NUM 1400 - NOVA GRANADA,"30431262 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 3665-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"RENASCENCA, MG",AVENIDA CRISTIANO MACHADO NUM 765 - GRACA,"311403 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0092-2,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"SANTA EFIGENIA, MG",RUA MARANHAO NUM 318 - SANTA EFIGENIA,"30150330 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0093-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"SANTO AGOSTINHO, MG",AVENIDA DO CONTORNO NUM 8256 - LOURDES,"3011062 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0935-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"SAVASSI, MG",AVENIDA CRISTOVAO COLOMBO NUM 373 - FUNCIONARIOS,"30140140 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0091-4,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"SECULO, MG",RUA CARIJOS NUM 218 - CENTRO,"3012060 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 0084-1,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"SHOPPING CIDADE, MG",RUA TUPIS NUM 337 - CENTRO,"3019060 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 4157-2,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"SHOPPING ESTACAO BH, MG",AVENIDA CRISTIANO MACHADO NUM 11833 - VILA CLORIS,"317447 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 3155-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"SINFRONIO BROCHADO, MG",AVENIDA SINFRONIO BROCHADO NUM 645 - BARREIRO,"306400 - BELO HORIZONTE, MG",Tel: (31) 4003-1043,Ag. Número: 3553-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
