,Nome,Endereco,Cep - UF,Telefone,Numero CGC,Horario de Atendimento
0,"ANGRA DOS REIS, RJ",RUA CORONEL CARVALHO NUM 124 - CENTRO,"23900315 - ANGRA DOS REIS, RJ",Tel: (24) 3203-0010,Ag. Número: 0887-7,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ARARUAMA, RJ",RUA ROSA RAPOSO NUM 141 - CENTRO,"28979111 - ARARUAMA, RJ",Tel: (22) 3111-0010,Ag. Número: 0888-5,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"ARMACAO DOS BUZIOS, RJ",AVENIDA JOSE RIBEIRO DANTAS NUM S/N - MANGUINHOS,"289500 - ARMACAO DOS BUZIOS, RJ",Tel: (22) 3113-0010,Ag. Número: 3825-3,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BARRA DO PIRAI, RJ",RUA GOVERNADOR PORTELA NUM 171 - CENTRO,"271230 - BARRA DO PIRAI, RJ",Tel: (24) 4102-0010,Ag. Número: 0177-5,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"03 DE OUTUBRO, RJ",RUA JOSIAS CIRILO MACIEL NUM 105 - VILA NOVA,"27321200 - BARRA MANSA, RJ",Tel: (24) 4103-0040,Ag. Número: 3147-0,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BARRA MANSA, RJ",RUA ANDRADE FIGUEIRA NUM 45 - CENTRO,"27330110 - BARRA MANSA, RJ",Tel: (24) 4003-1043,Ag. Número: 0176-7,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BELFORD ROXO, RJ",AVENIDA BENJAMIM PINTO DIAS NUM 1221 - CENTRO,"261300 - BELFORD ROXO, RJ",Tel: (21) 3480-0020,Ag. Número: 4095-9,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"ESTRADA MANOEL DE SA, RJ",ESTRADA MANOEL DE SA NUM S/N - LOTE XV,"261820 - BELFORD ROXO, RJ",Tel: (21) 4003-1043,Ag. Número: 4655-8,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"SARAPUI, RJ",AVENIDA BENJAMIM PINTO DIAS NUM 1724 - CENTRO,"261300 - BELFORD ROXO, RJ",Tel: (21) 3480-0010,Ag. Número: 3390-1,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BOM JARDIM, RJ",RUA MIGUEL DE CARVALHO NUM 159 - CENTRO,"286600 - BOM JARDIM, RJ",Tel: (22) 3115-0010,Ag. Número: 2060-5,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BOM JESUS DO ITABAPOANA, RJ",PRACA AMARAL PEIXOTO NUM 76 - CENTRO,"283600 - BOM JESUS DO ITABAPOANA, RJ",Tel: (22) 4003-1043,Ag. Número: 0178-3,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BAIRRO SAO CRISTOVAO, RJ",AVENIDA JOAQUIM NOGUEIRA NUM 1305 - SAO CRISTOVAO,"28909490 - CABO FRIO, RJ",Tel: (22) 3203-0020,Ag. Número: 4437-7,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"CABO FRIO, RJ",AVENIDA ASSUNCAO NUM 848 - CENTRO,"28906200 - CABO FRIO, RJ",Tel: (22) 3203-0010,Ag. Número: 0179-1,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"CACHOEIRAS DE MACACU, RJ",RUA SERAFIM COELHO GOMES NUM 5 - CENTRO,"286800 - CACHOEIRAS DE MACACU, RJ",Tel: (21) 4003-1043,Ag. Número: 2061-3,Horário de atendimento: 10:00 às 15:00 (dias úteis)
0,"BARAO DE MIRACEMA, RJ",RUA BARAO DE MIRACEMA NUM 329 - CENTRO,"28035301 - CAMPOS DOS GOYTACAZES, RJ",Tel: (22) 3722-0590,Ag. Número: 4337-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
0,"BENTA PEREIRA, RJ",RUA TENENTE-CORONEL CARDOSO NUM 517 - CENTRO,"28010801 - CAMPOS DOS GOYTACAZES, RJ",Tel: (22) 3722-0550,Ag. Número: 2524-0,Horário de atendimento: 10:00 às 16:00 (dias úteis)
