,Nome,Endereco,Cep - UF,Numero CGC
0,"COSTA VERDE, RJ",AVENIDA FRANCISCO MAGALHAES DE CASTRO NUM 920 - PARQUE PEREQUE (MAMBUCABA),"2395320 - ANGRA DOS REIS, RJ",Ag. Número: 4377-0
0,"TRT CABO FRIO, RJ",RUA POETA VITORINO CARRICO NUM 331 - PARQUE BURLE,"2891170 - CABO FRIO, RJ",Ag. Número: 7198-6
0,AG EMPRESARIAL NORTE FLUMINENSE,BOULEVARD FRANCISCO DE PAULA CARNEIRO NUM 1/9 - CENTRO,"28010230 - CAMPOS DOS GOYTACAZES, RJ",Ag. Número: 4273-0
0,"AGRO CAMPOS DOS GOYTACAZES, RJ",BOULEVARD FRANCISCO DE PAULA CARNEIRO NUM 1/9 - CENTRO,"28010230 - CAMPOS DOS GOYTACAZES, RJ",Ag. Número: 7517-5
0,"DIGITAL CAMPOS, RJ",BOULEVARD FRANCISCO DE PAULA CARNEIRO NUM 1/9 - CENTRO,"28010230 - CAMPOS DOS GOYTACAZES, RJ",Ag. Número: 5489-5
0,"DIGITAL NORTE FLUMINENSE, RJ",BOULEVARD FRANCISCO DE PAULA CARNEIRO NUM 1/9 - CENTRO,"28010230 - CAMPOS DOS GOYTACAZES, RJ",Ag. Número: 3773-7
0,"CASIMIRO DE ABREU, RJ",PRACA LUCIO ANDRE NUM 5 - CENTRO,"288600 - CASIMIRO DE ABREU, RJ",Ag. Número: 4870-4
0,AG EMPRESARIAL RIO METROPOLITANA,RUA ALMIRANTE GRENFALL NUM 405 BL 1 - PARQUE DUQUE,"25085135 - DUQUE DE CAXIAS, RJ",Ag. Número: 4264-1
0,"DIGITAL BAIXADA FLUMINENSE, RJ",AVENIDA NILO PECANHA NUM 249 - CENTRO,"25010145 - DUQUE DE CAXIAS, RJ",Ag. Número: 2781-2
0,"JARDIM PRIMAVERA, RJ",JORNALISTA MOACIR PADILHA Q 34 - JARDIM PRIMAVERA,"25215250 - DUQUE DE CAXIAS, RJ",Ag. Número: 2335-3
0,"ENG PAULO DE FRONTIN, RJ",RUA JOAO BATISTA FERRINI NUM 65 - CENTRO,"266500 - ENGENHEIRO PAULO DE FRONTIN, RJ",Ag. Número: 4763-5
0,AG EMPRESARIAL LESTE FLUMINENSE,AVENIDA ERNANI DO AMARAL PEIXOTO NUM 335 - CENTRO,"2402071 - NITEROI, RJ",Ag. Número: 4262-5
0,"DIGITAL METROPOLITANA, RJ",AVENIDA ERNANI DO AMARAL PEIXOTO NUM 335 - CENTRO,"24027900 - NITEROI, RJ",Ag. Número: 3820-2
0,"DIGITAL NITEROI, RJ",AVENIDA ERNANI DO AMARAL PEIXOTO NUM 335 - CENTRO,"24027900 - NITEROI, RJ",Ag. Número: 2788-0
0,"TRT NITEROI, RJ",AVENIDA ERNANI DO AMARAL PEIXOTO NUM 232 - CENTRO,"2402075 - NITEROI, RJ",Ag. Número: 2732-4
0,"JUSTICA FEDERAL NOVA FRIBURGO, RJ",AVENIDA ENGENHEIRO HANS GAISER NUM 26 - CENTRO,"28605220 - NOVA FRIBURGO, RJ",Ag. Número: 4014-2
0,AG EMPRESARIAL RIO DE JANEIRO,AVENIDA OSCAR NIEMEYER NUM 2000 - SANTO CRISTO,"20220297 - RIO DE JANEIRO, RJ",Ag. Número: 4263-3
0,"AV DOM HELDER CAMARA, RJ",AVENIDA PASTOR MARTIN LUTHER KING JR NUM 126 - DEL CASTILHO,"20765971 - RIO DE JANEIRO, RJ",Ag. Número: 4947-6
0,"CLUBE DE REGATAS FLAMENGO, RJ",AVENIDA BORGES DE MEDEIROS NUM 997 - LEBLON,"2243041 - RIO DE JANEIRO, RJ",Ag. Número: 7936-7
0,"CNC, RJ",AVENIDA GENERAL JUSTO NUM 307 - CENTRO,"20021130 - RIO DE JANEIRO, RJ",Ag. Número: 4015-0
0,CORPORATIVO RIO DE JANEIRO,AVENIDA OSCAR NIEMEYER NUM 2000 - SANTO CRISTO,"20220297 - RIO DE JANEIRO, RJ",Ag. Número: 4497-0
0,"DIGITAL BARRA DA TIJUCA, RJ",AVENIDA ARMANDO LOMBARDI NUM 400 - BARRA DA TIJUCA,"226400 - RIO DE JANEIRO, RJ",Ag. Número: 2661-1
0,"DIGITAL CARIOCA, RJ",AVENIDA OSCAR NIEMEYER NUM 2000 - SANTO CRISTO,"20220297 - RIO DE JANEIRO, RJ",Ag. Número: 3765-6
0,"DIGITAL GUANABARA, RJ",AVENIDA OSCAR NIEMEYER NUM 2000 - SANTO CRISTO,"20220297 - RIO DE JANEIRO, RJ",Ag. Número: 2660-3
0,"DIGITAL HORTO DAS ACACIAS, RJ",ESTRADA DE JACAREPAGUA NUM 7845 - ANIL,"2275333 - RIO DE JANEIRO, RJ",Ag. Número: 2784-7
0,"DIGITAL LEBLON, RJ",RUA JOAO LIRA NUM 84 - LEBLON,"22430210 - RIO DE JANEIRO, RJ",Ag. Número: 2662-0
0,"DIGITAL MARACANA, RJ",AVENIDA OSCAR NIEMEYER NUM 2000 - SANTO CRISTO,"20220297 - RIO DE JANEIRO, RJ",Ag. Número: 2663-8
0,"DIGITAL OESTE CARIOCA, RJ",AVENIDA ARMANDO LOMBARDI NUM 400 - BARRA DA TIJUCA,"226400 - RIO DE JANEIRO, RJ",Ag. Número: 2907-6
0,"DIGITAL PAO DE ACUCAR, RJ",RUA DAS MARRECAS NUM 20 - CENTRO,"20031120 - RIO DE JANEIRO, RJ",Ag. Número: 3884-9
0,"DIGITAL RIO DE JANEIRO CAPITAL, RJ",AVENIDA OSCAR NIEMEYER NUM 2000 - SANTO CRISTO,"20220297 - RIO DE JANEIRO, RJ",Ag. Número: 3766-4
0,"ESTACAO LUCAS, RJ",RUA ITAPERA NUM 500 - IRAJA,"21230500 - RIO DE JANEIRO, RJ",Ag. Número: 4948-4
0,"FORUM CRIMINAL TRF, RJ",AVENIDA VENEZUELA NUM 134 - SAUDE,"20081312 - RIO DE JANEIRO, RJ",Ag. Número: 4117-3
0,"JUSTICA FEDERAL RIO DE JANEIRO, RJ",AVENIDA RIO BRANCO NUM 241/243 - CENTRO,"200409 - RIO DE JANEIRO, RJ",Ag. Número: 0625-4
0,"LARGO DO LUME, RJ",AVENIDA GRACA ARANHA NUM 327/333 - CENTRO,"200303 - RIO DE JANEIRO, RJ",Ag. Número: 4780-5
0,"MERCADO SAO SEBASTIAO, RJ",AVENIDA LOBO JUNIOR NUM 1715 - PENHA CIRCULAR,"21020123 - RIO DE JANEIRO, RJ",Ag. Número: 2423-6
0,"PALACIO DO EXERCITO, RJ",PRACA DUQUE DE CAXIAS NUM 25 - CENTRO,"20221260 - RIO DE JANEIRO, RJ",Ag. Número: 0214-3
0,"PETROBRAS RIO, RJ",AVENIDA AV REPUBLICA DO CHILE 65 NUM 65 - CENTRO,"20031912 - RIO DE JANEIRO, RJ",Ag. Número: 7947-2
